Date,Category,Amount(USD)
2025-01-01,Food,28.50
2025-01-03,Transportation,15.00
2025-01-05,Utilities,145.20
2025-01-08,Food,12.40
2025-01-10,Entertainment,45.00
2025-01-14,Transportation,22.00
2025-01-18,Food,34.15
2025-01-22,Shopping,89.99
2025-01-25,Food,18.00
2025-01-29,Transportation,35.00
2025-02-02,Food,21.50
2025-02-05,Utilities,138.00
2025-02-09,Entertainment,65.00
2025-02-12,Food,11.20
2025-02-15,Transportation,18.50
2025-02-20,Food,42.00
2025-02-24,Shopping,120.50
2025-02-28,Food,15.75
2025-03-04,Utilities,142.10
2025-03-07,Transportation,25.00
2025-03-12,Food,33.40
2025-03-15,Entertainment,50.00
2025-03-20,Food,19.90
2025-03-24,Transportation,30.00
2025-03-28,Shopping,45.25
2025-04-02,Food,27.00
2025-04-05,Utilities,130.00
2025-04-09,Transportation,12.00
2025-04-13,Food,38.50
2025-04-18,Entertainment,75.00
2025-04-22,Food,14.60
2025-04-26,Transportation,28.00
2025-05-01,Shopping,210.00
2025-05-05,Utilities,125.50
2025-05-08,Food,22.30
2025-05-12,Transportation,15.00
2025-05-15,Food,31.00
2025-05-20,Entertainment,40.00
2025-05-24,Food,10.50
2025-05-28,Transportation,33.00
2025-06-02,Food,26.75
2025-06-05,Utilities,155.00
2025-06-10,Shopping,55.00
2025-06-14,Transportation,19.00
2025-06-18,Food,44.20
2025-06-22,Entertainment,110.00
2025-06-26,Food,12.80
2025-06-30,Transportation,25.00
2025-07-04,Food,50.00
2025-07-07,Utilities,160.00
2025-07-11,Shopping,32.40
2025-07-15,Food,21.15
2025-07-19,Transportation,15.00
2025-07-23,Food,37.00
2025-07-27,Entertainment,85.00
2025-07-31,Food,14.00
2025-08-04,Utilities,165.00
2025-08-08,Transportation,40.00
2025-08-12,Food,29.50
2025-08-16,Shopping,150.00
2025-08-20,Food,18.25
2025-08-24,Transportation,22.00
2025-08-28,Food,33.00
2025-09-02,Utilities,140.00
2025-09-06,Entertainment,45.00
2025-09-10,Food,11.50
2025-09-14,Transportation,30.00
2025-09-18,Food,41.00
2025-09-22,Shopping,65.00
2025-09-26,Food,24.00
2025-09-30,Transportation,15.00
2025-10-04,Utilities,135.00
2025-10-08,Food,36.70
2025-10-12,Entertainment,95.00
2025-10-16,Food,19.00
2025-10-20,Transportation,27.00
2025-10-24,Shopping,88.00
2025-10-28,Food,13.20
2025-11-02,Utilities,150.00
2025-11-06,Transportation,20.00
2025-11-10,Food,48.00
2025-11-14,Entertainment,30.00
2025-11-18,Food,22.50
2025-11-22,Transportation,35.00
2025-11-26,Shopping,175.00
2025-11-30,Food,16.80
2025-12-04,Utilities,190.00
2025-12-07,Food,31.40
2025-12-11,Transportation,25.00
2025-12-15,Entertainment,120.00
2025-12-18,Food,44.00
2025-12-21,Shopping,200.00
2025-12-24,Food,65.00
2025-12-25,Food,80.00
2025-12-27,Transportation,40.00
2025-12-28,Food,15.00
2025-12-29,Transportation,20.00
2025-12-30,Food,22.00
2025-12-31,Entertainment,150.00
